name,city_name,latitude,longitude,estimated_cost,opening_time,closing_time,closed_days
Centre d'Histoire de la Résistance et de la Déportation,Lyon,45.7464306,4.8359519,15,09:30,18:30,Monday
Musée urbain Tony Garnier,Lyon,45.7335086,4.8629827,15,09:30,18:30,Monday
Musée de l'Armée,Paris,48.8570374,2.3118779,15,09:30,18:30,Monday
Point zéro des Routes de France,Paris,48.8534015,2.3487885,5,09:30,18:30,Monday
Musée des Arts Décoratifs,Paris,48.8631692,2.3329513,15,09:30,18:30,Monday
Musée des Arts et Métiers,Paris,48.8660977,2.3554138,15,09:30,18:30,Monday
Centre d'art contemporain du Fort du Bruissin,Lyon,45.7305319,4.7385345,15,09:30,18:30,Monday
Musée national Gustave Moreau,Paris,48.8778955,2.3345468,15,09:30,18:30,Monday
Musée Grévin,Paris,48.8718365,2.3420974,15,09:30,18:30,Monday
Musée Edith Piaf,Paris,48.8662368,2.3817367,15,09:30,18:30,Monday
Espace Dali,Paris,48.88648,2.3399022,15,09:30,18:30,Monday
Cité des Sciences et de l'Industrie,Paris,48.8957518,2.3879761,15,09:30,18:30,Monday
Maison de Victor Hugo,Paris,48.854799,2.3661358,15,09:30,18:30,Monday
Vedettes de Paris,Paris,48.8588633,2.2918544,5,09:30,18:30,Monday
Maison européenne de la Photographie,Paris,48.8551205,2.3589562,15,09:30,18:30,Monday
Robinier du square René Viviani,Paris,48.8521855,2.3472903,5,09:30,18:30,Monday
Cité des Enfants (5-12 ans),Paris,48.8957352,2.3886935,15,09:30,18:30,Monday
Place du Carrousel,Paris,48.861633,2.3340447,5,09:30,18:30,Monday
Catacombes de Paris,Paris,48.8337439,2.3322925,15,09:30,18:30,Monday
Fontaine Cuvier,Paris,48.8439963,2.3550311,5,09:30,18:30,Monday
Ferme caprine de l'Hermitage,Lyon,45.8282326,4.7784778,5,09:30,18:30,Monday
Lavoir,Lyon,45.8374134,4.8053212,5,09:30,18:30,Monday
Le Petit Bouillon Pharamond,Paris,48.8630052,2.3485011,5,09:30,18:30,Monday
Fontaine Médicis,Paris,48.8480587,2.3392944,5,09:30,18:30,Monday
Conciergerie,Paris,48.8559492,2.3460263,15,09:30,18:30,Monday
Brasserie Bofinger,Paris,48.8539095,2.3680433,5,09:30,18:30,Monday
Musée du Vin,Paris,48.8575222,2.284569,15,09:30,18:30,Monday
Renard des Steppes,Paris,48.8453955,2.3614522,5,09:30,18:30,Monday
Takin,Paris,48.8449433,2.3611035,5,09:30,18:30,Monday
Markhor,Paris,48.8455992,2.3601919,5,09:30,18:30,Monday
Cheval de Przewalski,Paris,48.8455987,2.3610025,5,09:30,18:30,Monday
Tapir malais,Paris,48.8460274,2.36141,5,09:30,18:30,Monday
Chèvres des montagnes rocheuses,Paris,48.845395,2.3600837,5,09:30,18:30,Monday
Flamant des Caraïbes,Paris,48.8451325,2.3585787,5,09:30,18:30,Monday
Vigognes,Paris,48.8448648,2.3615333,5,09:30,18:30,Monday
Casoars à casque,Paris,48.8461195,2.360275,5,09:30,18:30,Monday
Oryx d'Arabie,Paris,48.8449788,2.3620536,5,09:30,18:30,Monday
Gaur,Paris,48.8444306,2.35884,5,09:30,18:30,Monday
Gaur,Paris,48.8444306,2.35884,5,09:30,18:30,Monday
Gaur,Paris,48.8444306,2.35884,5,09:30,18:30,Monday
Pademelons,Paris,48.8450246,2.3589585,5,09:30,18:30,Monday
Sanglier de Visayas,Paris,48.8448968,2.3592364,5,09:30,18:30,Monday
Chèvres du Sénégal,Paris,48.8445478,2.3594168,5,09:30,18:30,Monday
Wallaby de Bennett,Paris,48.844406,2.3578617,5,09:30,18:30,Monday
Gaur,Paris,48.8446941,2.3581762,5,09:30,18:30,Monday
Gaur,Paris,48.8446941,2.3581762,5,09:30,18:30,Monday
Gaur,Paris,48.8446941,2.3581762,5,09:30,18:30,Monday
Goral,Paris,48.8451002,2.3603422,5,09:30,18:30,Monday
Gaur,Paris,48.8443675,2.3593861,5,09:30,18:30,Monday
Gaur,Paris,48.8443675,2.3593861,5,09:30,18:30,Monday
Gaur,Paris,48.8443675,2.3593861,5,09:30,18:30,Monday
Potamochère roux,Paris,48.8446411,2.3605583,5,09:30,18:30,Monday
Ara,Paris,48.8457133,2.3599754,5,09:30,18:30,Monday
Musée de la Poste,Paris,48.8414555,2.317219,15,09:30,18:30,Monday
Galerie-musée Baccarat,Paris,48.8677391,2.2936393,15,09:30,18:30,Monday
Trompe-œil Bach,Paris,48.8307373,2.366252,5,09:30,18:30,Monday
Himalaya,Paris,48.844063,2.3591577,5,09:30,18:30,Monday
Serre de Nouvelle-Calédonie,Paris,48.8431338,2.3572563,5,09:30,18:30,Monday
Cévennes,Paris,48.8439327,2.3586581,5,09:30,18:30,Monday
Maroc,Paris,48.8441742,2.3588085,5,09:30,18:30,Monday
Corse,Paris,48.8441587,2.3590142,5,09:30,18:30,Monday
Forêts tropicales humides,Paris,48.8433054,2.3580196,5,09:30,18:30,Monday
Rapaces diurnes,Paris,48.8458624,2.3599834,5,09:30,18:30,Monday
Espagne,Paris,48.8441758,2.3585181,5,09:30,18:30,Monday
Balkans,Paris,48.8440565,2.3582832,5,09:30,18:30,Monday
Provence,Paris,48.8441366,2.3586465,5,09:30,18:30,Monday
Préalpes,Paris,48.8439166,2.3585197,5,09:30,18:30,Monday
USA,Paris,48.8440008,2.3589658,5,09:30,18:30,Monday
Zone arides des déserts,Paris,48.8431839,2.3575411,5,09:30,18:30,Monday
Alpes,Paris,48.8439389,2.358275,5,09:30,18:30,Monday
Histoire des Plantes,Paris,48.8429803,2.3568019,5,09:30,18:30,Monday
Caucase,Paris,48.8441665,2.359246,5,09:30,18:30,Monday
La Galerie des Enfants,Paris,48.8425172,2.3561671,5,09:30,18:30,Monday
Japon - Chine,Paris,48.8440975,2.3594894,5,09:30,18:30,Monday
Tourbière,Paris,48.8438012,2.3582264,5,09:30,18:30,Monday
Rapaces nocturnes,Paris,48.8445919,2.3612089,5,09:30,18:30,Monday
Panda roux,Paris,48.8441801,2.3598139,5,09:30,18:30,Monday
Binturong,Paris,48.8442979,2.3601736,5,09:30,18:30,Monday
Musée du Service de Santé des Armées,Paris,48.8403652,2.3414281,15,09:30,18:30,Monday
